"Time (s)","Distance (cm)"
9.605000000E-2,5.000000000E0
1.960343750E-1,5.000000000E0
2.960531250E-1,5.000000000E0
3.960375000E-1,5.000000000E0
4.960562500E-1,5.000000000E0
5.960406250E-1,5.000000000E0
6.960281250E-1,5.000000000E0
6.596040625E0,0.000000000E0
6.696026563E0,0.000000000E0
6.796043750E0,0.000000000E0
6.896029688E0,0.000000000E0
6.996046875E0,0.000000000E0
1.209604688E1,5.000000000E0
1.219603281E1,5.000000000E0
1.229605156E1,5.000000000E0
1.239603594E1,5.000000000E0
1.249605469E1,5.000000000E0
1.259603906E1,5.000000000E0
1.269602656E1,5.000000000E0
1.279604219E1,5.000000000E0
1.389604375E1,0.000000000E0
1.399602969E1,0.000000000E0
1.409604688E1,0.000000000E0
1.419603281E1,0.000000000E0
1.429605000E1,0.000000000E0
1.439603594E1,0.000000000E0
1.449605313E1,0.000000000E0
1.459603906E1,0.000000000E0
4.051096042E3,5.000000000E0
4.051196028E3,5.000000000E0
4.051296045E3,5.000000000E0
4.051396031E3,5.000000000E0
4.051496048E3,5.000000000E0
4.051596033E3,5.000000000E0
4.051696052E3,5.000000000E0
4.051796036E3,5.000000000E0
